STT, Thời gian, Ngày tháng, TỔNG LƯU LƯỢNG 1, Tiêu thụ, LƯU LƯỢNG TỨC THỜI 1
    1, 01:00:00 , 01/01/2024 1:00:00 SA ,         649125.3, 0        ,                  0.0
    2, 02:00:00 , 01/01/2024 2:00:00 SA ,         649131.3, 6.0      ,                  6.0
    3, 03:00:00 , 01/01/2024 3:00:00 SA ,         649136.7, 5.4      ,                  5.5
    4, 04:00:00 , 01/01/2024 4:00:00 SA ,         649142.0, 5.3      ,                  5.1
    5, 05:00:00 , 01/01/2024 5:00:00 SA ,         649148.2, 6.2      ,                  6.5
    6, 06:00:00 , 01/01/2024 6:00:00 SA ,         649155.4, 7.2      ,                  7.2
    7, 07:00:00 , 01/01/2024 7:00:00 SA ,         649169.4, 14.0     ,                 14.0
    8, 08:00:00 , 01/01/2024 8:00:00 SA ,         649190.9, 21.5     ,                 22.2
    9, 09:00:00 , 01/01/2024 9:00:00 SA ,         649213.4, 22.5     ,                 21.8
   10, 10:00:00 , 01/01/2024 10:00:00 SA,         649235.3, 21.9     ,                 21.5
   11, 11:00:00 , 01/01/2024 11:00:00 SA,         649258.2, 22.9     ,                 23.6
   12, 12:00:00 , 01/01/2024 12:00:00 CH,         649277.8, 19.6     ,                 19.3
   13, 13:00:00 , 01/01/2024 1:00:00 CH ,         649294.5, 16.7     ,                 16.3
   14, 14:00:00 , 01/01/2024 2:00:00 CH ,         649307.3, 12.8     ,                 13.2
   15, 15:00:00 , 01/01/2024 3:00:00 CH ,         649321.1, 13.8     ,                 14.0
   16, 16:00:00 , 01/01/2024 4:00:00 CH ,         649338.8, 17.7     ,                 18.4
   17, 17:00:00 , 01/01/2024 5:00:00 CH ,         649362.8, 24.0     ,                 25.3
   18, 18:00:00 , 01/01/2024 6:00:00 CH ,         649393.5, 30.7     ,                 30.7
   19, 19:00:00 , 01/01/2024 7:00:00 CH ,         649422.2, 28.7     ,                 29.1
   20, 20:00:00 , 01/01/2024 8:00:00 CH ,         649446.6, 24.4     ,                 23.5
   21, 21:00:00 , 01/01/2024 9:00:00 CH ,         649469.6, 23.0     ,                 23.9
   22, 22:00:00 , 01/01/2024 10:00:00 CH,         649488.7, 19.1     ,                 18.3
   23, 23:00:00 , 01/01/2024 11:00:00 CH,         649502.6, 13.9     ,                 14.2
   24, 00:00:00 , 02/01/2024 12:00:00 SA,         649510.9, 8.3      ,                  8.8
   25, 01:00:00 , 02/01/2024 1:00:00 SA ,         649516.8, 5.9      ,                  6.4
   26, 02:00:00 , 02/01/2024 2:00:00 SA ,         649521.6, 4.8      ,                  4.4
