STT,Thời gian,Ngày tháng,ÁP LỰC 1,TỔNG LƯU LƯỢNG 1,Tiêu thụ,LƯU LƯỢNG TỨC THỜI 1
1,1:00:00,01/01/2024 1:00:00 SA,,272431.4,0,3.2
2,2:00:00,01/01/2024 2:00:00 SA,,272434.4,3,3.1
3,3:00:00,01/01/2024 3:00:00 SA,,272437.3,2.9,2.9
4,4:00:00,01/01/2024 4:00:00 SA,,272439.6,2.3,2.2
5,5:00:00,01/01/2024 5:00:00 SA,,272442.2,2.6,2.5
6,6:00:00,01/01/2024 6:00:00 SA,,272445.5,3.3,3.1
7,7:00:00,01/01/2024 7:00:00 SA,,272452.1,6.6,6
8,8:00:00,01/01/2024 8:00:00 SA,,272462.8,10.7,10.4
9,9:00:00,01/01/2024 9:00:00 SA,,272474,11.2,10.4
10,10:00:00,01/01/2024 10:00:00 SA,,272484.6,10.6,10.9
11,11:00:00,01/01/2024 11:00:00 SA,,272495.9,11.3,10.4
12,12:00:00,01/01/2024 12:00:00 CH,,272507,11.1,11.7
13,13:00:00,01/01/2024 1:00:00 CH,,272514.7,7.7,7.9
14,14:00:00,01/01/2024 2:00:00 CH,,272523.5,8.8,8.4
15,15:00:00,01/01/2024 3:00:00 CH,,272531.7,8.2,7.9
16,16:00:00,01/01/2024 4:00:00 CH,,272540.5,8.8,7.9
17,17:00:00,01/01/2024 5:00:00 CH,,272552.4,11.9,11.9
18,18:00:00,01/01/2024 6:00:00 CH,,272566.9,14.5,15.2
19,19:00:00,01/01/2024 7:00:00 CH,,272581.2,14.3,13.6
20,20:00:00,01/01/2024 8:00:00 CH,,272594.7,13.5,13.9
21,21:00:00,01/01/2024 9:00:00 CH,,272607.8,13.1,13
22,22:00:00,01/01/2024 10:00:00 CH,,272618,10.2,10
23,23:00:00,01/01/2024 11:00:00 CH,,272625.6,7.6,8.3
72,0:00:00,04/01/2024 12:00:00 SA,,273014.5,4.3,4.1
73,1:00:00,04/01/2024 1:00:00 SA,,273017.4,2.9,3
74,2:00:00,04/01/2024 2:00:00 SA,,273020,2.6,2.8
75,3:00:00,04/01/2024 3:00:00 SA,,273022.4,2.4,2.4
76,4:00:00,04/01/2024 4:00:00 SA,,273024.7,2.3,2.1
77,5:00:00,04/01/2024 5:00:00 SA,,273027.8,3.1,2.9
78,6:00:00,04/01/2024 6:00:00 SA,,273033.9,6.1,5.5
79,7:00:00,04/01/2024 7:00:00 SA,,273044.8,10.9,10.4
80,8:00:00,04/01/2024 8:00:00 SA,,273054.6,9.8,9.9
81,9:00:00,04/01/2024 9:00:00 SA,,273063,8.4,8.2
82,10:00:00,04/01/2024 10:00:00 SA,,273070.4,7.4,7.4
83,11:00:00,04/01/2024 11:00:00 SA,,273078.3,7.9,7.7
84,12:00:00,04/01/2024 12:00:00 CH,,273086.9,8.6,8.8
85,13:00:00,04/01/2024 1:00:00 CH,,273094.4,7.5,7.4
86,14:00:00,04/01/2024 2:00:00 CH,,273102.6,8.2,8
87,15:00:00,04/01/2024 3:00:00 CH,,273112,9.4,9.4
88,16:00:00,04/01/2024 4:00:00 CH,,273119.7,7.7,8.2
89,17:00:00,04/01/2024 5:00:00 CH,,273127.5,7.8,7.9
90,18:00:00,04/01/2024 6:00:00 CH,,273139.2,11.7,11.1
91,19:00:00,04/01/2024 7:00:00 CH,,273154.6,15.4,15.9
92,20:00:00,04/01/2024 8:00:00 CH,,273169.2,14.6,14.2
93,21:00:00,04/01/2024 9:00:00 CH,,273181.2,12,12.1
94,22:00:00,04/01/2024 10:00:00 CH,,273191.4,10.2,10.6
95,23:00:00,04/01/2024 11:00:00 CH,,273199.2,7.8,8.1
