STT,Thời gian,Ngày tháng,ÁP LỰC 1,TỔNG LƯU LƯỢNG 1,Tiêu thụ,LƯU LƯỢNG TỨC THỜI 1
1,01:00:00,01/01/2024 1:00:00 SA,,272431.4,0,0.0
2,02:00:00,01/01/2024 2:00:00 SA,,272434.4,3.0,3.1
3,03:00:00,01/01/2024 3:00:00 SA,,272437.3,2.9,2.9
4,04:00:00,01/01/2024 4:00:00 SA,,272439.6,2.3,2.2
5,05:00:00,01/01/2024 5:00:00 SA,,272442.2,2.6,2.5
6,06:00:00,01/01/2024 6:00:00 SA,,272445.5,3.3,3.1
7,07:00:00,01/01/2024 7:00:00 SA,,272452.1,6.6,6.0
8,08:00:00,01/01/2024 8:00:00 SA,,272462.8,10.7,10.4
9,09:00:00,01/01/2024 9:00:00 SA,,272474.0,11.2,10.4
10,10:00:00,01/01/2024 10:00:00 SA,,272484.6,10.6,10.9
11,11:00:00,01/01/2024 11:00:00 SA,,272495.9,11.3,10.4
12,12:00:00,01/01/2024 12:00:00 CH,,272507.0,11.1,11.7
13,13:00:00,01/01/2024 1:00:00 CH,,272514.7,7.7,7.9
14,14:00:00,01/01/2024 2:00:00 CH,,272523.5,8.8,8.4
15,15:00:00,01/01/2024 3:00:00 CH,,272531.7,8.2,7.9
16,16:00:00,01/01/2024 4:00:00 CH,,272540.5,8.8,7.9
17,17:00:00,01/01/2024 5:00:00 CH,,272552.4,11.9,11.9
18,18:00:00,01/01/2024 6:00:00 CH,,272566.9,14.5,15.2
19,19:00:00,01/01/2024 7:00:00 CH,,272581.2,14.3,13.6
20,20:00:00,01/01/2024 8:00:00 CH,,272594.7,13.5,13.9
21,21:00:00,01/01/2024 9:00:00 CH,,272607.8,13.1,13.0
22,22:00:00,01/01/2024 10:00:00 CH,,272618.0,10.2,10.0
23,23:00:00,01/01/2024 11:00:00 CH,,272625.6,7.6,8.3
24,00:00:00,02/01/2024 12:00:00 SA,,272630.8,5.2,5.0
25,01:00:00,02/01/2024 1:00:00 SA,,272633.6,2.8,2.7
26,02:00:00,02/01/2024 2:00:00 SA,,272637.8,4.2,4.1
27,03:00:00,02/01/2024 3:00:00 SA,,272640.0,2.2,2.1
28,04:00:00,02/01/2024 4:00:00 SA,,272642.4,2.4,2.4
29,05:00:00,02/01/2024 5:00:00 SA,,272645.3,2.9,2.8
30,06:00:00,02/01/2024 6:00:00 SA,,272650.8,5.5,5.1
31,07:00:00,02/01/2024 7:00:00 SA,,272662.2,11.4,11.0
32,08:00:00,02/01/2024 8:00:00 SA,,272672.8,10.6,11.8
33,09:00:00,02/01/2024 9:00:00 SA,,1.5,-272671.3,12.5
34,10:00:00,02/01/2024 10:00:00 SA,,11.7,10.2,10.1
35,11:00:00,02/01/2024 11:00:00 SA,,19.9,8.2,8.1
36,12:00:00,02/01/2024 12:00:00 CH,,28.9,9.0,8.9
37,13:00:00,02/01/2024 1:00:00 CH,,36.8,7.9,7.5
38,14:00:00,02/01/2024 2:00:00 CH,,43.6,6.8,6.3
39,15:00:00,02/01/2024 3:00:00 CH,,53.0,9.4,9.8
40,16:00:00,02/01/2024 4:00:00 CH,,61.2,8.2,8.1
41,17:00:00,02/01/2024 5:00:00 CH,,68.7,7.5,7.8
42,18:00:00,02/01/2024 6:00:00 CH,,81.1,12.4,11.4
43,19:00:00,02/01/2024 7:00:00 CH,,272779.7,272698.6,15.5
44,20:00:00,02/01/2024 8:00:00 CH,,272792.0,12.3,12.3
45,21:00:00,02/01/2024 9:00:00 CH,,272805.0,13.0,12.7
46,22:00:00,02/01/2024 10:00:00 CH,,272816.0,11.0,11.1
47,23:00:00,02/01/2024 11:00:00 CH,,272824.5,8.5,8.7
48,00:00:00,03/01/2024 12:00:00 SA,,272829.4,4.9,5.2
49,01:00:00,03/01/2024 1:00:00 SA,,272832.4,3.0,2.9
50,02:00:00,03/01/2024 2:00:00 SA,,272834.9,2.5,2.3
51,03:00:00,03/01/2024 3:00:00 SA,,272837.4,2.5,2.4
52,04:00:00,03/01/2024 4:00:00 SA,,272839.8,2.4,2.2
53,05:00:00,03/01/2024 5:00:00 SA,,272842.7,2.9,2.6
54,06:00:00,03/01/2024 6:00:00 SA,,272848.1,5.4,4.5
55,07:00:00,03/01/2024 7:00:00 SA,,272858.8,10.7,10.6
56,08:00:00,03/01/2024 8:00:00 SA,,272868.8,10.0,9.5
57,09:00:00,03/01/2024 9:00:00 SA,,272876.9,8.1,8.7
58,10:00:00,03/01/2024 10:00:00 SA,,272884.1,7.2,6.8
