STT,Thời gian,Ngày tháng,ÁP LỰC 1,TỔNG LƯU LƯỢNG 1,Tiêu thụ,LƯU LƯỢNG TỨC THỜI 1
1,01:00:00,01/01/2024 1:00:00 SA,2.6,451897.0,0,0.0
2,02:00:00,01/01/2024 2:00:00 SA,2.3,451900.1,3.1,3.1
3,03:00:00,01/01/2024 3:00:00 SA,2.4,451902.8,2.7,2.7
4,04:00:00,01/01/2024 4:00:00 SA,2.4,451905.5,2.7,2.6
5,05:00:00,01/01/2024 5:00:00 SA,2.4,451908.5,3.0,3.0
6,06:00:00,01/01/2024 6:00:00 SA,2.5,451913.9,5.4,5.2
7,07:00:00,01/01/2024 7:00:00 SA,2.5,451922.9,9.0,8.5
8,08:00:00,01/01/2024 8:00:00 SA,2.4,451935.5,12.6,12.5
9,09:00:00,01/01/2024 9:00:00 SA,2.7,451948.5,13.0,13.1
10,10:00:00,01/01/2024 10:00:00 SA,2.4,451959.8,11.3,11.3
11,11:00:00,01/01/2024 11:00:00 SA,2.4,451973.9,14.1,13.9
12,12:00:00,01/01/2024 12:00:00 CH,2.6,451985.9,12.0,12.4
13,13:00:00,01/01/2024 1:00:00 CH,2.4,451996.1,10.2,10.3
14,14:00:00,01/01/2024 2:00:00 CH,2.6,452003.8,7.7,7.8
15,15:00:00,01/01/2024 3:00:00 CH,2.7,452011.5,7.7,7.7
16,16:00:00,01/01/2024 4:00:00 CH,2.5,452019.9,8.4,8.3
17,17:00:00,01/01/2024 5:00:00 CH,2.6,452030.3,10.4,10.0
18,18:00:00,01/01/2024 6:00:00 CH,2.5,452044.3,14.0,13.9
19,19:00:00,01/01/2024 7:00:00 CH,2.6,452058.5,14.2,14.3
20,20:00:00,01/01/2024 8:00:00 CH,2.8,452071.3,12.8,12.9
21,21:00:00,01/01/2024 9:00:00 CH,2.7,452082.5,11.2,11.3
22,22:00:00,01/01/2024 10:00:00 CH,2.5,452091.2,8.7,9.0
23,23:00:00,01/01/2024 11:00:00 CH,2.6,452098.3,7.1,7.1
24,00:00:00,02/01/2024 12:00:00 SA,2.6,452102.8,4.5,4.8
25,01:00:00,02/01/2024 1:00:00 SA,2.4,452105.8,3.0,3.1
26,02:00:00,02/01/2024 2:00:00 SA,2.5,452108.3,2.5,2.6
27,03:00:00,02/01/2024 3:00:00 SA,2.6,452110.7,2.4,2.4
28,04:00:00,02/01/2024 4:00:00 SA,2.6,452113.4,2.7,2.6
29,05:00:00,02/01/2024 5:00:00 SA,2.3,452117.1,3.7,3.5
30,06:00:00,02/01/2024 6:00:00 SA,2.5,452124.0,6.9,6.6
