STT,Thời gian,Ngày tháng,ÁP LỰC 1,TỔNG LƯU LƯỢNG 1,Tiêu thụ,LƯU LƯỢNG TỨC THỜI 1
1,1:00:00,01/01/2024 1:00:00 SA,3,695892.1,0,5.8
2,2:00:00,01/01/2024 2:00:00 SA,2.7,695897.9,5.8,5.6
3,3:00:00,01/01/2024 3:00:00 SA,2.7,695903.1,5.3,4.6
4,4:00:00,01/01/2024 4:00:00 SA,2.7,695907.9,4.8,4.2
5,5:00:00,01/01/2024 5:00:00 SA,2.7,695913.4,5.5,5.4
6,6:00:00,01/01/2024 6:00:00 SA,3.1,695922.2,8.8,9.1
7,7:00:00,01/01/2024 7:00:00 SA,3.4,695940.7,18.5,18.6
8,8:00:00,01/01/2024 8:00:00 SA,3.4,695967.1,26.4,26.1
9,9:00:00,01/01/2024 9:00:00 SA,3.3,695996.9,29.8,29.5
10,10:00:00,01/01/2024 10:00:00 SA,3.4,696025.4,28.5,29.8
11,11:00:00,01/01/2024 11:00:00 SA,3.4,696053.1,27.8,29.5
12,12:00:00,01/01/2024 12:00:00 CH,3.4,696078.4,25.3,25.2
13,13:00:00,01/01/2024 1:00:00 CH,3.2,696100.1,21.8,21
14,14:00:00,01/01/2024 2:00:00 CH,3.2,696118.9,18.8,18.9
15,15:00:00,01/01/2024 3:00:00 CH,3.3,696137.9,19,18.2
16,16:00:00,01/01/2024 4:00:00 CH,3.4,696158.4,20.5,20.6
17,17:00:00,01/01/2024 5:00:00 CH,3.4,696186.6,28.3,28
18,18:00:00,01/01/2024 6:00:00 CH,3.4,696223.3,36.7,35.9
19,19:00:00,01/01/2024 7:00:00 CH,3.6,696256.7,33.4,34.2
20,20:00:00,01/01/2024 8:00:00 CH,3.6,696286,29.3,29.3
21,21:00:00,01/01/2024 9:00:00 CH,3.5,696310.6,24.6,24.5
22,22:00:00,01/01/2024 10:00:00 CH,2.8,696329.5,18.9,18.8
23,23:00:00,01/01/2024 11:00:00 CH,3.1,696342.6,13.1,12.7
24,0:00:00,02/01/2024 12:00:00 SA,3,696351.2,8.6,9.4
25,1:00:00,02/01/2024 1:00:00 SA,2.8,696356.7,5.5,5.6
26,2:00:00,02/01/2024 2:00:00 SA,2.8,696361.6,4.9,4.9
27,3:00:00,02/01/2024 3:00:00 SA,2.9,696366.9,5.3,5.1
28,4:00:00,02/01/2024 4:00:00 SA,2.9,696372.2,5.3,5.4
29,5:00:00,02/01/2024 5:00:00 SA,2.9,696378.9,6.7,6.6
30,6:00:00,02/01/2024 6:00:00 SA,3.2,696390.4,11.5,11.1
31,7:00:00,02/01/2024 7:00:00 SA,3.5,696418.3,27.9,28.1
32,8:00:00,02/01/2024 8:00:00 SA,3.5,696444.1,25.8,25.9
