STT,Thời gian,Ngày tháng,ÁP LỰC 1,TỔNG LƯU LƯỢNG 1,Tiêu thụ,LƯU LƯỢNG TỨC THỜI 1
1,1:00:00,01/01/2024 1:00:00 SA,,166848.1,0,1.3
2,2:00:00,01/01/2024 2:00:00 SA,,166849.4,1.3,1.2
3,3:00:00,01/01/2024 3:00:00 SA,,166850.6,1.2,1.1
4,4:00:00,01/01/2024 4:00:00 SA,,166851.8,1.2,1
5,5:00:00,01/01/2024 5:00:00 SA,,166853.3,1.5,1.2
6,6:00:00,01/01/2024 6:00:00 SA,,166855.3,2,2
7,7:00:00,01/01/2024 7:00:00 SA,,166858.9,3.6,3.5
8,8:00:00,01/01/2024 8:00:00 SA,,166866,7.1,6.2
9,9:00:00,01/01/2024 9:00:00 SA,,166873,7,7.4
10,10:00:00,01/01/2024 10:00:00 SA,,166880.4,7.4,7.4
11,11:00:00,01/01/2024 11:00:00 SA,,166887.1,6.7,7.3
12,12:00:00,01/01/2024 12:00:00 CH,,166893.1,6,6.1
13,13:00:00,01/01/2024 1:00:00 CH,,166897.5,4.4,3.9
14,14:00:00,01/01/2024 2:00:00 CH,,166901.8,4.3,4.7
15,15:00:00,01/01/2024 3:00:00 CH,,166905.8,4,3.5
16,16:00:00,01/01/2024 4:00:00 CH,,166910.7,4.9,4.8
17,17:00:00,01/01/2024 5:00:00 CH,,166917.4,6.7,6.1
18,18:00:00,01/01/2024 6:00:00 CH,,166927.5,10.1,9.9
19,19:00:00,01/01/2024 7:00:00 CH,,166936.1,8.6,9.1
20,20:00:00,01/01/2024 8:00:00 CH,,166943.3,7.2,7.6
21,21:00:00,01/01/2024 9:00:00 CH,,166949.7,6.4,6.6
22,22:00:00,01/01/2024 10:00:00 CH,,166954.4,4.7,4.8
23,23:00:00,01/01/2024 11:00:00 CH,,166958.5,4.1,4
24,0:00:00,02/01/2024 12:00:00 SA,,166960.2,1.7,1.8
25,1:00:00,02/01/2024 1:00:00 SA,,166961.5,1.3,1.3
26,2:00:00,02/01/2024 2:00:00 SA,,166962.7,1.2,1.2
27,3:00:00,02/01/2024 3:00:00 SA,,166963.8,1.1,1
28,4:00:00,02/01/2024 4:00:00 SA,,166965.1,1.3,1.1
29,5:00:00,02/01/2024 5:00:00 SA,,166966.6,1.5,1.7
30,6:00:00,02/01/2024 6:00:00 SA,,166969.5,2.9,3.1
31,7:00:00,02/01/2024 7:00:00 SA,,166977.4,7.9,7.7
32,8:00:00,02/01/2024 8:00:00 SA,,166985.4,8,8
33,9:00:00,02/01/2024 9:00:00 SA,,166991.6,6.2,6
34,10:00:00,02/01/2024 10:00:00 SA,,166997.9,6.3,6.7
35,11:00:00,02/01/2024 11:00:00 SA,,167005.5,7.6,8.2
36,12:00:00,02/01/2024 12:00:00 CH,,4.1,-167001.4,4.6
37,13:00:00,02/01/2024 1:00:00 CH,,8.7,4.6,4.6
38,14:00:00,02/01/2024 2:00:00 CH,,12,3.3,3.3
39,15:00:00,02/01/2024 3:00:00 CH,,15.5,3.5,3.5
40,16:00:00,02/01/2024 4:00:00 CH,,20.7,5.2,5.2
41,17:00:00,02/01/2024 5:00:00 CH,,26,5.3,5.3
42,18:00:00,02/01/2024 6:00:00 CH,,35,9,8.8
43,19:00:00,02/01/2024 7:00:00 CH,,167050.8,167015.8,10
44,20:00:00,02/01/2024 8:00:00 CH,,167059.9,9.1,9
45,21:00:00,02/01/2024 9:00:00 CH,,167067,7.1,6.6
46,22:00:00,02/01/2024 10:00:00 CH,,167073.1,6.1,5.2
47,23:00:00,02/01/2024 11:00:00 CH,,167076.5,3.4,3.4
48,0:00:00,03/01/2024 12:00:00 SA,,167078.5,2,2
49,1:00:00,03/01/2024 1:00:00 SA,,167079.8,1.3,1.4
50,2:00:00,03/01/2024 2:00:00 SA,,167081,1.2,1.2
51,3:00:00,03/01/2024 3:00:00 SA,,167082.1,1.1,1.1
52,4:00:00,03/01/2024 4:00:00 SA,,167083.5,1.4,1.2
53,5:00:00,03/01/2024 5:00:00 SA,,167085.4,1.9,2
54,6:00:00,03/01/2024 6:00:00 SA,,167088.8,3.4,3.2
55,7:00:00,03/01/2024 7:00:00 SA,,167094.5,5.7,5.8
56,8:00:00,03/01/2024 8:00:00 SA,,167099.8,5.3,5.6
57,9:00:00,03/01/2024 9:00:00 SA,,167104.4,4.6,4.6
58,10:00:00,03/01/2024 10:00:00 SA,,167110.1,5.7,5.8
59,11:00:00,03/01/2024 11:00:00 SA,,167115.3,5.2,5.7
60,12:00:00,03/01/2024 12:00:00 CH,,167119.9,4.6,3.8
61,13:00:00,03/01/2024 1:00:00 CH,,167124.4,4.5,4.6
62,14:00:00,03/01/2024 2:00:00 CH,,167128.3,3.9,3.8
63,15:00:00,03/01/2024 3:00:00 CH,,167131.9,3.6,3.3
64,16:00:00,03/01/2024 4:00:00 CH,,167136.5,4.6,4.5
65,17:00:00,03/01/2024 5:00:00 CH,,167142,5.5,5.3
66,18:00:00,03/01/2024 6:00:00 CH,,167150.1,8.1,7.9
67,19:00:00,03/01/2024 7:00:00 CH,,167159.1,9,8.9
68,20:00:00,03/01/2024 8:00:00 CH,,167168.1,9,9.2
69,21:00:00,03/01/2024 9:00:00 CH,,167174.3,6.2,6.4
70,22:00:00,03/01/2024 10:00:00 CH,,167179.1,4.8,4.6
71,23:00:00,03/01/2024 11:00:00 CH,,167182.8,3.7,3.6
72,0:00:00,04/01/2024 12:00:00 SA,,167184.5,1.7,1.6
73,1:00:00,04/01/2024 1:00:00 SA,,167185.9,1.4,1.4
74,2:00:00,04/01/2024 2:00:00 SA,,167187,1.1,1.2
75,3:00:00,04/01/2024 3:00:00 SA,,167188.1,1.1,1
76,4:00:00,04/01/2024 4:00:00 SA,,167189.6,1.5,1.3
77,5:00:00,04/01/2024 5:00:00 SA,,167191.1,1.5,1.6
78,6:00:00,04/01/2024 6:00:00 SA,,167193.9,2.8,2.3
79,7:00:00,04/01/2024 7:00:00 SA,,167200.1,6.2,6.5
80,8:00:00,04/01/2024 8:00:00 SA,,167205.7,5.6,5.9
81,9:00:00,04/01/2024 9:00:00 SA,,167212.2,6.5,6.2
82,10:00:00,04/01/2024 10:00:00 SA,,167218.6,6.4,6.3
83,11:00:00,04/01/2024 11:00:00 SA,,167225.2,6.6,7.3
84,12:00:00,04/01/2024 12:00:00 CH,,167230.3,5.1,5.4
85,13:00:00,04/01/2024 1:00:00 CH,,167234.6,4.3,4.4
86,14:00:00,04/01/2024 2:00:00 CH,,167238.4,3.8,3.8
87,15:00:00,04/01/2024 3:00:00 CH,,167242.5,4.1,4.3
88,16:00:00,04/01/2024 4:00:00 CH,,167246,3.5,3.5
89,17:00:00,04/01/2024 5:00:00 CH,,167249.9,3.9,3.7
90,18:00:00,04/01/2024 6:00:00 CH,,167257.9,8,8.2
91,19:00:00,04/01/2024 7:00:00 CH,,167266.3,8.4,9.5
92,20:00:00,04/01/2024 8:00:00 CH,,167275.4,9.1,8.5
93,21:00:00,04/01/2024 9:00:00 CH,,167281.8,6.4,6.2
94,22:00:00,04/01/2024 10:00:00 CH,,167287.4,5.6,5.7
95,23:00:00,04/01/2024 11:00:00 CH,,167291.3,3.9,4.6
96,0:00:00,05/01/2024 12:00:00 SA,,167293.6,2.3,2.3
97,1:00:00,05/01/2024 1:00:00 SA,,167294.9,1.3,1.3
98,2:00:00,05/01/2024 2:00:00 SA,,167296.3,1.4,1.3
99,3:00:00,05/01/2024 3:00:00 SA,,167297.4,1.1,1.2
100,4:00:00,05/01/2024 4:00:00 SA,,167298.8,1.4,1.2
101,5:00:00,05/01/2024 5:00:00 SA,,167300.5,1.7,1.7
102,6:00:00,05/01/2024 6:00:00 SA,,167303.5,3,2.5
103,7:00:00,05/01/2024 7:00:00 SA,,167310.7,7.2,6.3
104,8:00:00,05/01/2024 8:00:00 SA,,167318.1,7.4,7.7
105,9:00:00,05/01/2024 9:00:00 SA,,167323.2,5.1,5
106,10:00:00,05/01/2024 10:00:00 SA,,167328.5,5.3,4.6
107,11:00:00,05/01/2024 11:00:00 SA,,167333.9,5.4,5.2
108,12:00:00,05/01/2024 12:00:00 CH,,167338.7,4.8,5.4
109,13:00:00,05/01/2024 1:00:00 CH,,167343.3,4.6,4.2
110,14:00:00,05/01/2024 2:00:00 CH,,167347.9,4.6,4.5
111,15:00:00,05/01/2024 3:00:00 CH,,167352.6,4.7,4.6
112,16:00:00,05/01/2024 4:00:00 CH,,167357.8,5.2,5.1
113,17:00:00,05/01/2024 5:00:00 CH,,167362.6,4.8,4.2
114,18:00:00,05/01/2024 6:00:00 CH,,167370.4,7.8,7.6
115,19:00:00,05/01/2024 7:00:00 CH,,167380.4,10,9.9
116,20:00:00,05/01/2024 8:00:00 CH,,167388.5,8.1,8
117,21:00:00,05/01/2024 9:00:00 CH,,167395.8,7.3,6.8
118,22:00:00,05/01/2024 10:00:00 CH,,167401.7,5.9,6.1
119,23:00:00,05/01/2024 11:00:00 CH,,167405.5,3.8,3.7
120,0:00:00,06/01/2024 12:00:00 SA,,167407.9,2.4,2.6
121,1:00:00,06/01/2024 1:00:00 SA,,167409.6,1.7,1.7
122,2:00:00,06/01/2024 2:00:00 SA,,167410.8,1.2,1.2
123,3:00:00,06/01/2024 3:00:00 SA,,167412,1.2,1.1
124,4:00:00,06/01/2024 4:00:00 SA,,167413.3,1.3,1.2
125,5:00:00,06/01/2024 5:00:00 SA,,167415.1,1.8,1.7
126,6:00:00,06/01/2024 6:00:00 SA,,167417.8,2.7,2.6
127,7:00:00,06/01/2024 7:00:00 SA,,167424.4,6.6,6
128,8:00:00,06/01/2024 8:00:00 SA,,167430.8,6.4,6.2
129,9:00:00,06/01/2024 9:00:00 SA,,167436.6,5.8,5.9
130,10:00:00,06/01/2024 10:00:00 SA,,167442,5.4,4.8
131,11:00:00,06/01/2024 11:00:00 SA,,167447.9,5.9,5.4
132,12:00:00,06/01/2024 12:00:00 CH,,167453.5,5.6,5.8
133,13:00:00,06/01/2024 1:00:00 CH,,167458.3,4.8,5
134,14:00:00,06/01/2024 2:00:00 CH,,167462.6,4.3,4.8
135,15:00:00,06/01/2024 3:00:00 CH,,167467.1,4.5,4.5
136,16:00:00,06/01/2024 4:00:00 CH,,167471.5,4.4,4.8
137,17:00:00,06/01/2024 5:00:00 CH,,167477.4,5.9,6
138,18:00:00,06/01/2024 6:00:00 CH,,167486,8.6,8.2
139,19:00:00,06/01/2024 7:00:00 CH,,167494.7,8.7,8.3
140,20:00:00,06/01/2024 8:00:00 CH,,167501.9,7.2,7.9
141,21:00:00,06/01/2024 9:00:00 CH,,167507.5,5.6,5.4
142,22:00:00,06/01/2024 10:00:00 CH,,167513,5.5,5.1
143,23:00:00,06/01/2024 11:00:00 CH,,167516.7,3.7,3.6
144,0:00:00,07/01/2024 12:00:00 SA,,167518.8,2.1,2
145,1:00:00,07/01/2024 1:00:00 SA,,167520.2,1.4,1.3
146,2:00:00,07/01/2024 2:00:00 SA,,167521.4,1.2,1
147,3:00:00,07/01/2024 3:00:00 SA,,167522.5,1.1,1.1
148,4:00:00,07/01/2024 4:00:00 SA,,167523.9,1.4,1.4
149,5:00:00,07/01/2024 5:00:00 SA,,167525.7,1.8,1.7
150,6:00:00,07/01/2024 6:00:00 SA,,167528.1,2.4,2.1
151,7:00:00,07/01/2024 7:00:00 SA,,167533.3,5.2,5.3
152,8:00:00,07/01/2024 8:00:00 SA,,167540.2,6.9,7.3
153,9:00:00,07/01/2024 9:00:00 SA,,167546.4,6.2,6.1
154,10:00:00,07/01/2024 10:00:00 SA,,167553.1,6.7,6.3
155,11:00:00,07/01/2024 11:00:00 SA,,167559.2,6.1,6.6
156,12:00:00,07/01/2024 12:00:00 CH,,167565.8,6.6,6.7
157,13:00:00,07/01/2024 1:00:00 CH,,167571,5.2,5.2
158,14:00:00,07/01/2024 2:00:00 CH,,167575.2,4.2,4.2
159,15:00:00,07/01/2024 3:00:00 CH,,167580.1,4.9,5.1
160,16:00:00,07/01/2024 4:00:00 CH,,167585.6,5.5,5.6
161,17:00:00,07/01/2024 5:00:00 CH,,167592,6.4,6.3
162,18:00:00,07/01/2024 6:00:00 CH,,167602.2,10.2,10
163,19:00:00,07/01/2024 7:00:00 CH,,167611.1,8.9,8.4
164,20:00:00,07/01/2024 8:00:00 CH,,167618,6.9,6.8
165,21:00:00,07/01/2024 9:00:00 CH,,167624.1,6.1,6.2
166,22:00:00,07/01/2024 10:00:00 CH,,167629,4.9,4.6
167,23:00:00,07/01/2024 11:00:00 CH,,167632,3,3.1
168,0:00:00,08/01/2024 12:00:00 SA,,167633.7,1.7,1.6
169,1:00:00,08/01/2024 1:00:00 SA,,167635.1,1.4,1.3
170,2:00:00,08/01/2024 2:00:00 SA,,167636.2,1.1,1.1
171,3:00:00,08/01/2024 3:00:00 SA,,167637.5,1.3,1.4
172,4:00:00,08/01/2024 4:00:00 SA,,167638.8,1.3,1.4
173,5:00:00,08/01/2024 5:00:00 SA,,167640.5,1.7,1.7
174,6:00:00,08/01/2024 6:00:00 SA,,167643.5,3,2.7
175,7:00:00,08/01/2024 7:00:00 SA,,167651.1,7.6,7.8
176,8:00:00,08/01/2024 8:00:00 SA,,167657.6,6.5,6.4
177,9:00:00,08/01/2024 9:00:00 SA,,167663.7,6.1,5.9
178,10:00:00,08/01/2024 10:00:00 SA,,167668.7,5,4.7
179,11:00:00,08/01/2024 11:00:00 SA,,167675.2,6.5,6.5
180,12:00:00,08/01/2024 12:00:00 CH,,167680,4.8,5.2
181,13:00:00,08/01/2024 1:00:00 CH,,167684.4,4.4,4.3
182,14:00:00,08/01/2024 2:00:00 CH,,167688.1,3.7,3.3
183,15:00:00,08/01/2024 3:00:00 CH,,167691.5,3.4,3.4
184,16:00:00,08/01/2024 4:00:00 CH,,167695,3.5,3.2
185,17:00:00,08/01/2024 5:00:00 CH,,167699.6,4.6,5.7
186,18:00:00,08/01/2024 6:00:00 CH,,167707.7,8.1,7.9
187,19:00:00,08/01/2024 7:00:00 CH,,167717.3,9.6,10.1
188,20:00:00,08/01/2024 8:00:00 CH,,167726.1,8.8,9
189,21:00:00,08/01/2024 9:00:00 CH,,167733.4,7.3,7.1
190,22:00:00,08/01/2024 10:00:00 CH,,167739.3,5.9,6.1
191,23:00:00,08/01/2024 11:00:00 CH,,167744,4.7,4.9
192,0:00:00,09/01/2024 12:00:00 SA,,167745.8,1.8,1.7
193,1:00:00,09/01/2024 1:00:00 SA,,167747.1,1.3,1.3
194,2:00:00,09/01/2024 2:00:00 SA,,167748.2,1.1,1.1
195,3:00:00,09/01/2024 3:00:00 SA,,167749.4,1.2,1
196,4:00:00,09/01/2024 4:00:00 SA,,167750.6,1.2,1.3
197,5:00:00,09/01/2024 5:00:00 SA,,167752.3,1.7,1.8
198,6:00:00,09/01/2024 6:00:00 SA,,167755.7,3.4,2.8
199,7:00:00,09/01/2024 7:00:00 SA,,167763,7.3,7.9
200,8:00:00,09/01/2024 8:00:00 SA,,167769.1,6.1,5.8
201,9:00:00,09/01/2024 9:00:00 SA,,167773.9,4.8,4.4
202,10:00:00,09/01/2024 10:00:00 SA,,167779.8,5.9,5.9
203,11:00:00,09/01/2024 11:00:00 SA,,167785.9,6.1,6
204,12:00:00,09/01/2024 12:00:00 CH,,167791.2,5.3,5.1
205,13:00:00,09/01/2024 1:00:00 CH,,167797.6,6.4,6.6
206,14:00:00,09/01/2024 2:00:00 CH,,167802.3,4.7,4.2
207,15:00:00,09/01/2024 3:00:00 CH,,167807.8,5.5,5.3
208,16:00:00,09/01/2024 4:00:00 CH,,167813,5.2,5.6
209,17:00:00,09/01/2024 5:00:00 CH,,167818.2,5.2,5
210,18:00:00,09/01/2024 6:00:00 CH,,167827.2,9,9.1
211,19:00:00,09/01/2024 7:00:00 CH,,167837.4,10.2,10.6
212,20:00:00,09/01/2024 8:00:00 CH,,167846.1,8.7,8.7
213,21:00:00,09/01/2024 9:00:00 CH,,167854.1,8,8.3
214,22:00:00,09/01/2024 10:00:00 CH,,167860.2,6.1,6.1
215,23:00:00,09/01/2024 11:00:00 CH,,167865.2,5,5
216,0:00:00,10/01/2024 12:00:00 SA,,167868,2.8,2.7
217,1:00:00,10/01/2024 1:00:00 SA,,167869.7,1.7,1.6
218,2:00:00,10/01/2024 2:00:00 SA,,167871.3,1.6,1.5
219,3:00:00,10/01/2024 3:00:00 SA,,167873.1,1.8,1.9
220,4:00:00,10/01/2024 4:00:00 SA,,167875.2,2.1,2
221,5:00:00,10/01/2024 5:00:00 SA,,167877.9,2.7,2.6
222,6:00:00,10/01/2024 6:00:00 SA,,167881.7,3.8,3.6
223,7:00:00,10/01/2024 7:00:00 SA,,167888.6,6.9,7.5
224,8:00:00,10/01/2024 8:00:00 SA,,167894.4,5.8,5.5
225,9:00:00,10/01/2024 9:00:00 SA,,167898.7,4.3,4.1
226,10:00:00,10/01/2024 10:00:00 SA,,167904.2,5.5,5.6
227,11:00:00,10/01/2024 11:00:00 SA,,167912.2,8,5.8
228,12:00:00,10/01/2024 12:00:00 CH,,167918.4,6.2,6.4
229,13:00:00,10/01/2024 1:00:00 CH,,167922.7,4.3,4
230,14:00:00,10/01/2024 2:00:00 CH,,167926.3,3.6,3
231,15:00:00,10/01/2024 3:00:00 CH,,167930.1,3.8,3.4
232,16:00:00,10/01/2024 4:00:00 CH,,167934.2,4.1,4.1
233,17:00:00,10/01/2024 5:00:00 CH,,167938.7,4.5,4.3
234,18:00:00,10/01/2024 6:00:00 CH,,167946.5,7.8,7.6
235,19:00:00,10/01/2024 7:00:00 CH,,167955.3,8.8,8.7
236,20:00:00,10/01/2024 8:00:00 CH,,167962.7,7.4,7.6
237,21:00:00,10/01/2024 9:00:00 CH,,167968.9,6.2,5.9
238,22:00:00,10/01/2024 10:00:00 CH,,167974.5,5.6,5.9
239,23:00:00,10/01/2024 11:00:00 CH,,167978.7,4.2,4
240,0:00:00,11/01/2024 12:00:00 SA,,167980.8,2.1,2
241,1:00:00,11/01/2024 1:00:00 SA,,167982,1.2,1.2
242,2:00:00,11/01/2024 2:00:00 SA,,167983.2,1.2,1.1
243,3:00:00,11/01/2024 3:00:00 SA,,167984.4,1.2,1.1
244,4:00:00,11/01/2024 4:00:00 SA,,167985.6,1.2,1.2
245,5:00:00,11/01/2024 5:00:00 SA,,167987.4,1.8,1.4
246,6:00:00,11/01/2024 6:00:00 SA,,167990,2.6,2.3
247,7:00:00,11/01/2024 7:00:00 SA,,167996.5,6.5,6.8
248,8:00:00,11/01/2024 8:00:00 SA,,168001.7,5.2,5.1
