STT,Thời gian,Ngày tháng,ÁP LỰC 1,TỔNG LƯU LƯỢNG 1,Tiêu thụ,LƯU LƯỢNG TỨC THỜI 1
1,1:00:00,01/01/2024 1:00:00 SA,2.6,451897,0,3.2
2,2:00:00,01/01/2024 2:00:00 SA,2.3,451900.1,3.1,3.1
3,3:00:00,01/01/2024 3:00:00 SA,2.4,451902.8,2.7,2.7
4,4:00:00,01/01/2024 4:00:00 SA,2.4,451905.5,2.7,2.6
5,5:00:00,01/01/2024 5:00:00 SA,2.4,451908.5,3,3
6,6:00:00,01/01/2024 6:00:00 SA,2.5,451913.9,5.4,5.2
7,7:00:00,01/01/2024 7:00:00 SA,2.5,451922.9,9,8.5
8,8:00:00,01/01/2024 8:00:00 SA,2.4,451935.5,12.6,12.5
9,9:00:00,01/01/2024 9:00:00 SA,2.7,451948.5,13,13.1
10,10:00:00,01/01/2024 10:00:00 SA,2.4,451959.8,11.3,11.3
11,11:00:00,01/01/2024 11:00:00 SA,2.4,451973.9,14.1,13.9
12,12:00:00,01/01/2024 12:00:00 CH,2.6,451985.9,12,12.4
13,13:00:00,01/01/2024 1:00:00 CH,2.4,451996.1,10.2,10.3
14,14:00:00,01/01/2024 2:00:00 CH,2.6,452003.8,7.7,7.8
15,15:00:00,01/01/2024 3:00:00 CH,2.7,452011.5,7.7,7.7
16,16:00:00,01/01/2024 4:00:00 CH,2.5,452019.9,8.4,8.3
17,17:00:00,01/01/2024 5:00:00 CH,2.6,452030.3,10.4,10
18,18:00:00,01/01/2024 6:00:00 CH,2.5,452044.3,14,13.9
19,19:00:00,01/01/2024 7:00:00 CH,2.6,452058.5,14.2,14.3
20,20:00:00,01/01/2024 8:00:00 CH,2.8,452071.3,12.8,12.9
21,21:00:00,01/01/2024 9:00:00 CH,2.7,452082.5,11.2,11.3
22,22:00:00,01/01/2024 10:00:00 CH,2.5,452091.2,8.7,9
23,23:00:00,01/01/2024 11:00:00 CH,2.6,452098.3,7.1,7.1
48,0:00:00,03/01/2024 12:00:00 SA,2.7,452331.2,5,5.4
49,1:00:00,03/01/2024 1:00:00 SA,2.6,452334.3,3.1,3.3
50,2:00:00,03/01/2024 2:00:00 SA,2.6,452337,2.7,2.7
51,3:00:00,03/01/2024 3:00:00 SA,2.6,452339.6,2.6,2.5
52,4:00:00,03/01/2024 4:00:00 SA,2.7,452342.3,2.7,2.7
53,5:00:00,03/01/2024 5:00:00 SA,2.7,452345.9,3.6,3.4
54,6:00:00,03/01/2024 6:00:00 SA,2.5,452352.2,6.3,6
55,7:00:00,03/01/2024 7:00:00 SA,2.7,452364.3,12.1,11.8
56,8:00:00,03/01/2024 8:00:00 SA,2.6,452375.8,11.5,11.8
57,9:00:00,03/01/2024 9:00:00 SA,2.4,452386.3,10.5,10.6
58,10:00:00,03/01/2024 10:00:00 SA,2.6,452396.1,9.8,9.8
59,11:00:00,03/01/2024 11:00:00 SA,2.5,452408.7,12.6,12.3
60,12:00:00,03/01/2024 12:00:00 CH,2.8,452419.5,10.8,10.8
61,13:00:00,03/01/2024 1:00:00 CH,2.5,452428.2,8.7,9.2
62,14:00:00,03/01/2024 2:00:00 CH,2.6,452435.5,7.3,7.3
63,15:00:00,03/01/2024 3:00:00 CH,2.5,452442.9,7.4,7.3
64,16:00:00,03/01/2024 4:00:00 CH,2.4,452451.7,8.8,8.7
65,17:00:00,03/01/2024 5:00:00 CH,2.3,452461.5,9.8,9.5
66,18:00:00,03/01/2024 6:00:00 CH,2.3,452474.8,13.3,13
67,19:00:00,03/01/2024 7:00:00 CH,2.6,452491.1,16.3,16.2
68,20:00:00,03/01/2024 8:00:00 CH,2.5,452505.3,14.2,14.5
69,21:00:00,03/01/2024 9:00:00 CH,2.9,452516.9,11.6,11.9
70,22:00:00,03/01/2024 10:00:00 CH,2.4,452525.1,8.2,8.3
71,23:00:00,03/01/2024 11:00:00 CH,2.7,452532.1,7,7.3
72,0:00:00,04/01/2024 12:00:00 SA,2.7,452536.4,4.3,4.4
73,1:00:00,04/01/2024 1:00:00 SA,2.6,452539,2.6,2.7
74,2:00:00,04/01/2024 2:00:00 SA,2.6,452541.3,2.3,2.3
75,3:00:00,04/01/2024 3:00:00 SA,2.5,452543.4,2.1,2.2
76,4:00:00,04/01/2024 4:00:00 SA,2.5,452545.6,2.2,2.2
77,5:00:00,04/01/2024 5:00:00 SA,2.4,452548.9,3.3,3.1
78,6:00:00,04/01/2024 6:00:00 SA,2.7,452555.1,6.2,5.9
79,7:00:00,04/01/2024 7:00:00 SA,2.6,452567.4,12.3,12
