date,True,Predicted
19/01/2024,3.45,3.7290123
20/01/2024,3.8,3.7116199
21/01/2024,4.0249999999999995,3.7649887
22/01/2024,4.225,3.8884528
23/01/2024,3.825,4.0090623
24/01/2024,3.075,4.0210805
25/01/2024,3.025,3.9641633
26/01/2024,3.15,3.8899305
27/01/2024,3.475,3.7773407
28/01/2024,3.3,3.6743007
02/02/2024,4.425,3.5908186
03/02/2024,4.075,3.5957994
04/02/2024,4.1,3.670831
05/02/2024,4.4,3.8649309
06/02/2024,4.625,4.1410546
07/02/2024,4.074999999999999,4.3381944
08/02/2024,4.725,4.329718
09/02/2024,4.325,4.323274
10/02/2024,7.0,4.2656364
11/02/2024,3.6500000000000004,4.5689025
12/02/2024,3.8,4.5172276
13/02/2024,3.6500000000000004,4.434179
14/02/2024,3.5250000000000004,4.2305236
15/02/2024,3.75,4.017113
16/02/2024,3.8,3.8800755
17/02/2024,3.5749999999999997,3.8113453
18/02/2024,3.9250000000000003,3.7956204
19/02/2024,3.5999999999999996,3.889998
20/02/2024,3.15,3.9623773
21/02/2024,3.5250000000000004,3.925448
22/02/2024,3.375,3.8959994
23/02/2024,3.0,3.8551862
24/02/2024,3.625,3.75972
25/02/2024,3.425,3.6592124
26/02/2024,3.45,3.6286688
27/02/2024,3.825,3.6264937
28/02/2024,4.25,3.681682
29/02/2024,3.9750000000000005,3.8015912
01/03/2024,4.125,3.9065967
02/03/2024,4.375,3.9913433
03/03/2024,4.325,4.0693765
04/03/2024,4.0,4.1287146
05/03/2024,3.7749999999999995,4.1452994
06/03/2024,4.5,4.114618
07/03/2024,4.375,4.1362243
08/03/2024,4.05,4.159157
09/03/2024,4.125,4.166638
10/03/2024,4.625,4.1954412
11/03/2024,4.25,4.27159
12/03/2024,3.9749999999999996,4.2962995
13/03/2024,3.6750000000000003,4.267457
14/03/2024,3.8000000000000003,4.172544
15/03/2024,4.85,4.083992
16/03/2024,5.125,4.1388183
21/03/2024,3.75,4.297294
22/03/2024,4.025,4.301163
23/03/2024,4.2,4.289839
24/03/2024,4.35,4.2735167
25/03/2024,3.875,4.2716813
26/03/2024,4.575,4.189843
27/03/2024,3.925,4.1937118
28/03/2024,4.0249999999999995,4.153811
29/03/2024,3.925,4.1717224
30/03/2024,4.325,4.187814
31/03/2024,5.0,4.1828084
01/04/2024,5.15,4.2723155
02/04/2024,4.625,4.426716
03/04/2024,4.1,4.5178447
04/04/2024,4.824999999999999,4.4881
05/04/2024,4.75,4.49153
06/04/2024,5.05,4.4796157
07/04/2024,4.375,4.529636
08/04/2024,4.2749999999999995,4.497332
09/04/2024,4.0249999999999995,4.461498
10/04/2024,4.45,4.3721247
11/04/2024,3.8000000000000003,4.27681
12/04/2024,3.6999999999999997,4.131344
13/04/2024,4.075,4.0278945
14/04/2024,4.375,4.011794
15/04/2024,4.45,4.08333
16/04/2024,3.8,4.182995
17/04/2024,4.3500000000000005,4.1756907
18/04/2024,5.575000000000001,4.2141323
19/04/2024,4.949999999999999,4.4307885
20/04/2024,4.6,4.559609
21/04/2024,5.05,4.5829597
22/04/2024,4.475,4.6225367
23/04/2024,4.775,4.560981
24/04/2024,5.55,4.5543604
25/04/2024,5.875,4.697783
26/04/2024,5.35,4.9446816
27/04/2024,5.6000000000000005,5.096425
28/04/2024,5.525,5.184159
29/04/2024,7.25,5.0440006
30/04/2024,6.775,5.355375
01/05/2024,6.7250000000000005,5.690725
02/05/2024,6.25,6.041728
03/05/2024,5.699999999999999,6.071854
04/05/2024,7.2,5.483529
05/05/2024,6.4,5.555373
06/05/2024,6.425000000000001,5.7208214
14/05/2024,5.25,5.684237
15/05/2024,5.9750000000000005,5.285713
16/05/2024,4.875,5.2417617
17/05/2024,5.275,5.069651
18/05/2024,5.45,5.0711317
21/05/2024,7.0,5.156085
22/05/2024,5.525,5.5864615
23/05/2024,5.7,5.5083666
28/05/2024,5.824999999999999,5.325394
02/06/2024,4.699999999999999,5.2131977
03/06/2024,5.449999999999999,4.8625793
04/06/2024,4.4750000000000005,4.77684
05/06/2024,4.5,4.636865
06/06/2024,4.25,4.5518756
07/06/2024,4.3,4.494097
08/06/2024,3.825,4.4716988
09/06/2024,4.25,4.3666916
10/06/2024,5.074999999999999,4.30245
11/06/2024,4.1499999999999995,4.377424
12/06/2024,3.9,4.32607
13/06/2024,3.925,4.2373595
14/06/2024,4.125,4.152782
15/06/2024,4.325,4.1185446
16/06/2024,5.65,4.1337647
17/06/2024,4.8,4.347186
18/06/2024,4.4,4.4873095
19/06/2024,4.425000000000001,4.534687
20/06/2024,3.9749999999999996,4.528197
21/06/2024,4.4750000000000005,4.371616
22/06/2024,4.425000000000001,4.2798915
23/06/2024,4.6000000000000005,4.238563
24/06/2024,5.175,4.282615
25/06/2024,4.225,4.5005903
26/06/2024,4.45,4.5376453
27/06/2024,5.675,4.451678
28/06/2024,4.7,4.5667896
29/06/2024,4.075,4.5593038
30/06/2024,4.8,4.44739
01/07/2024,4.1000000000000005,4.46339
02/07/2024,4.625,4.3753734
03/07/2024,4.5,4.362261
04/07/2024,4.525,4.3413987
05/07/2024,5.0,4.3542695
06/07/2024,4.35,4.466101
07/07/2024,5.0,4.454857
08/07/2024,5.300000000000001,4.5032163
09/07/2024,4.575,4.5925727
10/07/2024,4.775,4.5596585
11/07/2024,4.35,4.5643954
12/07/2024,4.55,4.4904647
13/07/2024,4.6,4.43288
14/07/2024,4.75,4.4064445
15/07/2024,5.199999999999999,4.4324765
16/07/2024,4.175,4.559951
17/07/2024,4.675,4.49274
18/07/2024,4.5,4.456949
19/07/2024,4.125,4.386362
20/07/2024,4.375,4.279537
21/07/2024,4.6,4.240296
22/07/2024,4.2749999999999995,4.2787395
23/07/2024,4.35,4.298249
24/07/2024,4.55,4.3122044
25/07/2024,4.4,4.334395
26/07/2024,4.949999999999999,4.325562
27/07/2024,4.75,4.4053855
28/07/2024,5.300000000000001,4.466483
29/07/2024,4.375,4.610372
30/07/2024,5.825,4.5693336
31/07/2024,4.85,4.750148
01/08/2024,4.4,4.751017
02/08/2024,4.075,4.6213694
03/08/2024,5.1,4.4344196
04/08/2024,5.175,4.461204
05/08/2024,4.15,4.562153
06/08/2024,4.550000000000001,4.4875317
07/08/2024,4.675,4.450131
08/08/2024,4.275,4.4248204
09/08/2024,5.550000000000001,4.3362446
10/08/2024,4.275,4.4729085
11/08/2024,4.625,4.434016
12/08/2024,4.225,4.4477916
13/08/2024,4.075,4.3911195
14/08/2024,4.0,4.2908993
15/08/2024,4.449999999999999,4.1621795
16/08/2024,5.875,4.1418858
17/08/2024,4.975,4.4042377
18/08/2024,4.325,4.6272874
19/08/2024,5.300000000000001,4.616199
20/08/2024,4.3,4.652335
21/08/2024,4.175,4.495074
22/08/2024,4.125,4.350832
23/08/2024,4.25,4.2458496
24/08/2024,4.800000000000001,4.212192
25/08/2024,4.675,4.3128204
26/08/2024,4.225,4.4260187
27/08/2024,4.925,4.383718
28/08/2024,4.725,4.435098
29/08/2024,4.475,4.452736
30/08/2024,5.7,4.427935
31/08/2024,6.325,4.6068983
01/09/2024,8.05,4.9316125
02/09/2024,6.975,5.633706
03/09/2024,6.925,6.0901537
04/09/2024,7.050000000000001,6.429451
05/09/2024,6.45,6.97415
06/09/2024,6.175,7.6749945
10/09/2024,11.524999999999999,8.060955
11/09/2024,8.6,7.771275
12/09/2024,8.325,6.8805337
13/09/2024,6.3,6.1520267
14/09/2024,5.075,5.248594
15/09/2024,5.525,4.757277
16/09/2024,5.125,4.7650504
17/09/2024,5.050000000000001,4.8050437
18/09/2024,4.2,4.779067
19/09/2024,5.450000000000001,4.540026
20/09/2024,4.05,4.608424
21/09/2024,4.5,4.541757
22/09/2024,5.375,4.6305065
23/09/2024,4.75,4.8835883
24/09/2024,4.8,4.8105297
25/09/2024,4.025,4.610068
30/09/2024,4.3999999999999995,4.368001
01/10/2024,4.225,4.286638
02/10/2024,3.475,4.206718
03/10/2024,3.975,4.0617332
04/10/2024,3.55,4.005629
05/10/2024,4.075,3.9342127
06/10/2024,3.75,3.9485192
07/10/2024,3.375,3.947632
08/10/2024,4.125,3.907923
09/10/2024,3.5999999999999996,3.944835
10/10/2024,4.300000000000001,3.9575078
11/10/2024,3.65,4.0437026
12/10/2024,5.050000000000001,4.0465307
13/10/2024,4.075,4.1713076
14/10/2024,3.575,4.194448
15/10/2024,3.4000000000000004,4.1604934
16/10/2024,4.0249999999999995,4.095386
17/10/2024,3.825,4.056534
18/10/2024,3.475,3.9905746
19/10/2024,3.55,3.9071195
22/10/2024,3.575,3.8448303
23/10/2024,4.5,3.8206053
24/10/2024,4.225,3.926985
25/10/2024,4.125,4.0748487
26/10/2024,3.775,4.170785
27/10/2024,4.55,4.1603346
28/10/2024,3.5999999999999996,4.198361
29/10/2024,4.95,4.140546
30/10/2024,3.825,4.2381935
02/11/2024,4.125,4.191605
03/11/2024,4.574999999999999,4.1608458
04/11/2024,4.025,4.203843
05/11/2024,4.1,4.2403455
06/11/2024,4.125,4.2408223
07/11/2024,4.225,4.206374
08/11/2024,4.05,4.191127
09/11/2024,4.175,4.178257
10/11/2024,4.3,4.1854877
11/11/2024,3.1500000000000004,4.2096176
12/11/2024,5.1,4.089919
13/11/2024,3.15,4.1886477
14/11/2024,3.425,4.087129
15/11/2024,4.1,4.0046735
16/11/2024,3.375,3.9772315
17/11/2024,4.2749999999999995,3.9139538
18/11/2024,3.4000000000000004,3.946958
19/11/2024,3.5500000000000003,3.9262226
20/11/2024,3.5,3.9159675
21/11/2024,4.175,3.8940408
22/11/2024,3.4499999999999997,3.9355097
23/11/2024,3.7249999999999996,3.9279819
24/11/2024,4.725,3.9177146
25/11/2024,4.4,3.97603
26/11/2024,3.55,4.0480003
27/11/2024,4.1,4.0812564
28/11/2024,4.225,4.1509356
29/11/2024,3.65,4.1723804
30/11/2024,11.5,4.1046133
01/12/2024,4.5,4.850376
02/12/2024,3.65,4.871921
03/12/2024,5.3,4.6402392
04/12/2024,4.225,4.604686
05/12/2024,3.55,4.426034
06/12/2024,3.725,4.18734
07/12/2024,3.425,4.050872
08/12/2024,3.575,3.9793572
09/12/2024,3.65,3.969979
10/12/2024,3.725,3.884126
11/12/2024,3.625,3.8638172
12/12/2024,3.6500000000000004,3.8357747
13/12/2024,3.55,3.8353255
14/12/2024,3.5,3.8654208
15/12/2024,5.4,3.9367416
16/12/2024,5.25,4.110674
17/12/2024,4.7749999999999995,4.277767
18/12/2024,3.2749999999999995,4.3632727
19/12/2024,3.4749999999999996,4.2930007
20/12/2024,3.825,4.2115006
21/12/2024,4.125,4.1232886
22/12/2024,4.675,4.043104
23/12/2024,4.550000000000001,4.0228586
24/12/2024,4.050000000000001,4.059226
25/12/2024,4.175,4.203932
26/12/2024,5.4,4.391924
27/12/2024,4.3,4.5294757
28/12/2024,4.25,4.4488225
29/12/2024,4.3999999999999995,4.3692226
30/12/2024,5.075,4.335217
31/12/2024,4.25,4.4114947
01/01/2025,3.1999999999999997,4.4448667
02/01/2025,4.325,4.2351832
03/01/2025,4.325,4.146804
04/01/2025,4.3,4.1209607
05/01/2025,4.75,4.1528287
06/01/2025,4.8999999999999995,4.2673917
07/01/2025,4.25,4.413224
08/01/2025,4.375,4.441017
09/01/2025,4.475,4.4357986
10/01/2025,5.075,4.396
11/01/2025,4.0,4.435672
12/01/2025,4.625,4.350532
13/01/2025,4.725,4.3769894
14/01/2025,3.95,4.456661
15/01/2025,5.0,4.369797
16/01/2025,4.225,4.4044843
17/01/2025,4.625,4.348655
18/01/2025,4.125000000000001,4.365347
19/01/2025,3.95,4.3221655
20/01/2025,3.775,4.24825
21/01/2025,3.8499999999999996,4.134119
22/01/2025,4.175,4.043065
23/01/2025,4.275,4.027868
24/01/2025,3.875,4.067627
25/01/2025,4.3,4.091583
26/01/2025,5.4750000000000005,4.1630635
27/01/2025,4.5,4.400974
28/01/2025,4.825,4.4842696
29/01/2025,6.425,4.5444427
30/01/2025,4.925,4.8280387
31/01/2025,4.0,4.826756
01/02/2025,3.95,4.633467
02/02/2025,3.475,4.4147015
03/02/2025,3.5500000000000003,4.1534734
04/02/2025,3.6,3.9632494
05/02/2025,3.7249999999999996,3.8469915
06/02/2025,3.6249999999999996,3.8062477
07/02/2025,3.475,3.8229256
08/02/2025,3.4749999999999996,3.8387382
09/02/2025,3.5749999999999997,3.8431034
10/02/2025,3.3249999999999997,3.8565702
11/02/2025,3.1999999999999997,3.851943
12/02/2025,3.975,3.8264732
13/02/2025,4.824999999999999,3.7979755
14/02/2025,3.875,3.8518603
15/02/2025,4.025,3.9021285
16/02/2025,3.85,4.0013175
17/02/2025,3.4,4.076289
18/02/2025,3.45,4.0538263
19/02/2025,3.95,3.9875946
20/02/2025,3.4749999999999996,3.9355097
21/02/2025,3.375,3.8405266
22/02/2025,3.75,3.7449975
23/02/2025,3.575,3.7353613
24/02/2025,3.55,3.8103387
25/02/2025,3.4,3.8673346
26/02/2025,3.4250000000000003,3.8657215
27/02/2025,3.6500000000000004,3.831143
28/02/2025,4.025,3.7875926
01/03/2025,3.475,3.7916565
02/03/2025,3.7249999999999996,3.7865584
03/03/2025,3.625,3.8179862
04/03/2025,3.5,3.8337548
05/03/2025,4.05,3.827398
06/03/2025,3.4,3.8660378
07/03/2025,3.325,3.8565917
08/03/2025,3.7499999999999996,3.808909
09/03/2025,3.425,3.7760365
10/03/2025,3.475,3.7532449
11/03/2025,3.8,3.7574606
12/03/2025,3.225,3.783666
13/03/2025,2.6500000000000004,3.7570276
14/03/2025,3.3499999999999996,3.6733098
15/03/2025,4.5,3.6248074
16/03/2025,5.375,3.6869965
17/03/2025,3.15,3.8705993
18/03/2025,3.2499999999999996,3.8989518
19/03/2025,3.4499999999999997,3.9058816
20/03/2025,3.2,3.912623
21/03/2025,3.375,3.8848538
22/03/2025,3.525,3.82632
23/03/2025,6.225,3.7343056
24/03/2025,3.3500000000000005,3.8168845
25/03/2025,3.275,3.7992945
26/03/2025,3.4749999999999996,3.959892
27/03/2025,3.6,4.1207857
28/03/2025,3.325,4.0776544
29/03/2025,3.675,3.956772
30/03/2025,3.85,3.8298159
31/03/2025,3.325,3.712715
01/04/2025,3.7,3.650229
02/04/2025,4.175,3.717359
03/04/2025,3.7749999999999995,3.9511645
04/04/2025,3.5999999999999996,4.0500607
05/04/2025,4.05,4.0245667
06/04/2025,4.324999999999999,3.9865491
07/04/2025,4.05,3.9658902
08/04/2025,4.074999999999999,4.0220256
09/04/2025,3.825,4.070598
10/04/2025,4.8,4.0805173
11/04/2025,4.775,4.1670637
12/04/2025,4.225,4.2639904
13/04/2025,5.225,4.3115687
14/04/2025,4.525,4.459865
15/04/2025,5.275,4.484943
16/04/2025,4.199999999999999,4.608086
17/04/2025,4.375,4.5425544
18/04/2025,3.875,4.4505453
19/04/2025,3.4749999999999996,4.294273
20/04/2025,4.225,4.122446
21/04/2025,3.8,4.0584073
22/04/2025,3.6500000000000004,3.983031
23/04/2025,4.525,3.9376705
24/04/2025,4.025,4.027797
25/04/2025,5.575,4.102367
26/04/2025,3.65,4.3819275
27/04/2025,3.9,4.351235
28/04/2025,3.775,4.2981806
29/04/2025,3.5999999999999996,4.2006593
30/04/2025,4.075,4.0898137
01/05/2025,4.225,4.0270157
02/05/2025,4.3500000000000005,3.9982631
03/05/2025,4.2749999999999995,4.0371776
04/05/2025,4.3,4.1493287
05/05/2025,3.7,4.304964
06/05/2025,5.4,4.267858
07/05/2025,3.55,4.3937516
08/05/2025,3.675,4.2757344
09/05/2025,3.5,4.1720386
10/05/2025,4.975,4.053905
11/05/2025,4.05,4.104907
12/05/2025,3.8,4.1267586
13/05/2025,3.5999999999999996,4.1261153
14/05/2025,4.175,4.079966
15/05/2025,3.925,4.0981193
16/05/2025,4.525,4.1054773
17/05/2025,5.65,4.1739807
18/05/2025,4.3,4.370892
19/05/2025,3.9000000000000004,4.3990364
20/05/2025,3.8000000000000003,4.363418
21/05/2025,6.175,4.3210716
22/05/2025,4.2250000000000005,4.5120354
23/05/2025,4.275,4.446559
24/05/2025,4.125,4.398014
25/05/2025,4.3,4.3562737
26/05/2025,6.125,4.3494153
27/05/2025,4.525,4.593966
28/05/2025,5.125,4.574814
29/05/2025,5.275,4.644814
30/05/2025,4.9,4.7443523
31/05/2025,5.8,4.773295
01/06/2025,4.675,4.8833013
02/06/2025,5.4,4.743467
03/06/2025,4.65,4.8231297
04/06/2025,4.95,4.8387303
05/06/2025,5.25,4.7578745
06/06/2025,4.8,4.6755013
07/06/2025,5.1499999999999995,4.624553
08/06/2025,5.1,4.652285
09/06/2025,5.05,4.6721187
