Ngày,Giá trị gốc,Giá trị tái tạo
19/01/2024,30.475,-0.0
20/01/2024,29.025,-0.0
21/01/2024,28.5,-3.8045733e-38
22/01/2024,26.550000000000004,-3.4940149e-37
23/01/2024,24.525,-5.394859e-36
24/01/2024,25.2,-1.2778869e-35
25/01/2024,27.025,-8.8364105e-37
26/01/2024,26.675,-7.2807625e-37
27/01/2024,25.500000000000004,-1.16856486e-35
28/01/2024,23.625,-1.1022554e-34
02/02/2024,25.299999999999997,-3.059347e-35
03/02/2024,27.55,-8.359464e-37
04/02/2024,28.975,-7.009653e-38
05/02/2024,30.825000000000003,-0.0
06/02/2024,28.4,-1.8541559e-37
07/02/2024,27.974999999999998,-1.5021128e-36
08/02/2024,25.999999999999996,-9.1437856e-36
09/02/2024,28.25,-2.8073048e-37
10/02/2024,37.2,-0.0
11/02/2024,20.625,-0.0
12/02/2024,22.625,-1.16167096e-35
13/02/2024,23.775,-8.550849e-37
14/02/2024,23.775,-2.2977815e-36
15/02/2024,24.174999999999997,-3.0582916e-35
16/02/2024,28.949999999999996,-3.3079343e-37
17/02/2024,27.525,-2.9560366e-37
18/02/2024,26.575000000000003,-6.1601464e-36
19/02/2024,27.525,-4.8829482e-36
20/02/2024,28.325,-6.005992e-37
21/02/2024,28.775,-2.448463e-37
22/02/2024,29.075000000000003,-1.7535729e-37
23/02/2024,29.049999999999997,-1.6343072e-37
24/02/2024,25.275,-3.5054114e-35
25/02/2024,24.35,-1.7833043e-34
26/02/2024,26.724999999999998,-2.8534074e-36
27/02/2024,28.7,-0.0
28/02/2024,27.874999999999996,-1.2193186e-37
29/02/2024,27.525000000000002,-1.0414001e-36
01/03/2024,27.175,-8.265872e-37
02/03/2024,25.45,-7.5306176e-36
03/03/2024,29.174999999999997,-6.700266e-38
04/03/2024,28.025,-5.725215e-38
05/03/2024,26.25,-2.5913283e-36
06/03/2024,30.224999999999994,-2.1815443e-38
07/03/2024,28.299999999999997,-3.0525628e-38
08/03/2024,28.875,-8.867963e-38
09/03/2024,26.675,-7.9572785e-37
10/03/2024,27.0,-1.116401e-36
11/03/2024,28.85,-2.7168862e-38
12/03/2024,29.825,-0.0
13/03/2024,28.125,-5.28485e-38
14/03/2024,28.15,-1.8226344e-37
15/03/2024,29.2,-1.4764693e-38
16/03/2024,28.725,-1.3576138e-38
21/03/2024,29.6,-0.0
22/03/2024,29.325,-0.0
23/03/2024,26.950000000000003,-2.4356164e-37
24/03/2024,29.475,-2.2030912e-38
25/03/2024,30.475,-0.0
26/03/2024,32.975,-0.0
27/03/2024,32.050000000000004,-0.0
28/03/2024,32.175,-0.0
29/03/2024,29.325000000000003,-0.0
30/03/2024,31.25,-0.0
31/03/2024,29.9,-0.0
01/04/2024,34.425,-0.0
02/04/2024,33.375,-0.0
03/04/2024,33.075,-0.0
04/04/2024,33.175,-0.0
05/04/2024,33.275,-0.0
06/04/2024,32.425,-0.0
07/04/2024,30.275,-0.0
08/04/2024,31.675,-0.0
09/04/2024,30.950000000000003,-0.0
10/04/2024,29.550000000000004,-0.0
11/04/2024,30.825,-0.0
12/04/2024,31.599999999999998,-0.0
13/04/2024,31.875,-0.0
14/04/2024,33.5,-0.0
15/04/2024,31.5,-0.0
16/04/2024,32.175,-0.0
17/04/2024,31.9,-0.0
18/04/2024,31.025000000000002,-0.0
19/04/2024,31.849999999999998,-0.0
20/04/2024,33.8,-0.0
21/04/2024,33.275,-0.0
22/04/2024,32.925000000000004,-0.0
23/04/2024,32.449999999999996,-0.0
24/04/2024,34.1,-0.0
25/04/2024,33.725,-0.0
26/04/2024,32.725,-0.0
27/04/2024,33.775,-0.0
28/04/2024,34.35,-0.0
29/04/2024,37.575,-0.0
30/04/2024,33.75,-0.0
01/05/2024,33.599999999999994,-0.0
02/05/2024,32.8,-0.0
03/05/2024,32.3,-0.0
04/05/2024,33.775,-0.0
05/05/2024,34.35,-0.0
06/05/2024,35.825,-0.0
